REGION,DISTRICT,SUBDIS,GHS_SUBDIS,LOCALITY,FACILITY,GHS_FACILITY,TYPE,OWNERSHIP,LATITUDE,LONGITUDE,Area,Region_202,Region_201,Code,Anemia
Western,Effia-Kwesimintsim,Apremdo,Apremdo,Apremdo,2mrs Military Hospital,2MRS  Military Hospital,Hospital,Quasi-Government,4.914247,-1.805553,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Prestea,Asikuma-(PHV),Prestea,A And F Medical Diagnosis Service,S.D.A (Wassa Nkran) Health Centre,Health Centre,Christian Health Association of Ghana (CHAG),5.42767,-2.143106,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Bogrekrom,A Wooden Structure Behind The Doctor'S Flat,,,,5.303646,-1.977533,13842,Western,Western,"01",45.9
Western,Ellembelle,Aiyinase,Aiyinase,A.B. Bokazo,A.B. Bokazo,A.B. Bokazo Clinic,Clinic,Private,5.00804,-2.436443,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Saa,Saa,Abenabena,Abenabena Health Centre,Abenabena Health Centre,Health Centre,Government,5.963678,-1.952618,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Abesewa Gyaman,Abesewa Gyaman Chip Compound),Abesewa Gyamang CHPS,Community Health Planning Services (CHPS) Compound,Government,5.821187,-2.023102,13842,Western,Western,"01",45.9
Western,Wassa East,Atobiase,,Beenuye,Abiba Aba,,,,5.368924,-1.521242,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Anaji,Kwesimintim,Whindo,Abiyie Gods Grace Maternity Home,Abiye Maternity Home,Maternity Home,Private,4.936075,-1.808305,13842,Western,Western,"01",45.9
Western,Wassa East,Daboase,Daboase,Aboaboaso,Aboaboso Chps Compound,Aboaboso CHPS,Community Health Planning Services (CHPS) Compound,Government,5.189716,-1.63389,13842,Western,Western,"01",45.9
Western,Prestea Huni Valley,Aboso (Prestea-Huni Valley),Aboso,Aboso,Aboso Health Centre,Aboso Health Centre,Health Centre,Government,5.365623,-1.94108,13842,Western,Western,"01",45.9
Western,Effia-Kwesimintsim,Kwesimintim,,Anaji Estate,Abraham Adadie Boateng,,,,4.932536,-1.763366,13842,Western,Western,"01",45.9
Western,Shama,Aboadze Abuesi,Aboadze Abuesi,Abuesi,Abuesi Chips Compound,Abuesi (Shama) CHPS,Community Health Planning Services (CHPS) Compound,Government,4.981174,-1.639778,13842,Western,Western,"01",45.9
Western,Ahanta West Municipal,Nsuaem (Western),Agona,Abura,Abura Clinic,Abura CHPS,Community Health Planning Services (CHPS) Compound,Government,4.91257,-2.060475,13842,Western,Western,"01",45.9
Western,Wassa Amenfi Central,Anyinabrim (Wassa Amenfi Central),,Akyekyere,Achichire Clinic,,,,5.707501,-2.326659,13842,Western,Western,"01",45.9
Western,Tarkwa Nsuaem,Tarkwa,,Tarkwa,Ackoon Top-Clinic,,,,5.31664,-1.988207,13842,Western,Western,"01",45.9
Western,Mpohor,Adansi,Adansi,Adanse,Adanse Community Clinic,Adansi Community Clinic,Clinic,Government,5.127681,-1.753522,13842,Western,Western,"01",45.9
Western,Wassa Amenfi East,Akropong (WAE),Akropong (WAE),Adesu,Adesu Chp Compound,Adesu CHPS,Community Health Planning Services (CHPS) Compound,Government,5.803926,-2.076706,13842,Western,Western,"01",45.9
